RA,Nome Anonimizado,Fase,Pedra_Atual,IEG,IPS,IPP,IPV,Idade_Atual,Anos_de_Passos_Magicos
RA-852,Aluno-852,0,Quartzo,6.8,5.0,,5.5,7,0
RA-853,Aluno-853,0,Topázio,9.6,7.5,,8.5,8,0
RA-853,Aluno-853,ALFA,Ametista,9.5,3.77,6.25,9.84,9,1
RA-853,Aluno-853,1G,Ametista,9.5833333335,6.26,8.333333333,7.553333333,10,2
RA-854,Aluno-854,0,Topázio,9.0,7.5,,7.167,8,0
RA-854,Aluno-854,ALFA,Agata,9.5,3.77,5.625,8.01,9,1
RA-854,Aluno-854,1G,Ametista,10.0,6.26,5.833333333,6.333333333,10,2
RA-855,Aluno-855,0,Topázio,9.6,7.5,,9.0,9,0
RA-855,Aluno-855,FASE 1,Topázio,10.0,7.52,8.4375,8.67,10,1
RA-855,Aluno-855,2I,Topázio,10.0,7.51,7.5,7.386666667,11,2
RA-856,Aluno-856,0,Topázio,9.1,7.5,,8.0,7,0
RA-856,Aluno-856,ALFA,Ametista,9.6,7.52,5.625,8.255,8,1
RA-857,Aluno-857,0,Topázio,8.9,7.5,,9.083,9,0
RA-857,Aluno-857,ALFA,Topázio,9.0,7.52,7.5,9.01,10,1
RA-858,Aluno-858,0,Ametista,7.1,5.6,,7.333,7,0
RA-858,Aluno-858,ALFA,Ametista,8.1,3.77,8.125,7.946666667,8,1
RA-858,Aluno-858,ALFA,Agata,6.833333333500001,2.51,7.5,7.5,9,2
RA-859,Aluno-859,0,Topázio,8.7,7.5,,8.25,7,0
RA-859,Aluno-859,ALFA,Topázio,9.2,7.52,7.5,10.01,8,1
RA-859,Aluno-859,1G,Topázio,9.337121212,7.51,8.958333333,8.336666667,9,2
RA-86,Aluno-86,5,Ametista,9.6,5.6,,8.458,16,6
RA-86,Aluno-86,FASE 7,,,6.89,,,17,7
RA-86,Aluno-86,7E,Ametista,9.704333333,6.57,7.5,7.5,18,3
RA-860,Aluno-860,0,Topázio,8.5,7.5,,7.75,7,0
RA-860,Aluno-860,ALFA,Topázio,9.8,6.89,7.5,8.34,8,1
RA-860,Aluno-860,1G,Topázio,9.7916666665,7.51,8.75,7.946666667,9,2
RA-861,Aluno-861,ALFA,Topázio,10.0,8.13,8.4375,8.92,8,0
RA-861,Aluno-861,ALFA,Topázio,10.0,7.51,8.125,9.73,9,1
RA-862,Aluno-862,ALFA,Topázio,9.1,8.14,7.5,8.585,9,0
RA-862,Aluno-862,ALFA,Ametista,8.6136363635,7.51,7.1875,6.27,10,1
RA-863,Aluno-863,ALFA,Quartzo,7.6,3.14,5.9375,6.26,7,0
RA-863,Aluno-863,ALFA,Quartzo,3.159090909,2.51,4.6875,4.333333333,8,1
RA-864,Aluno-864,ALFA,Ametista,7.6,8.14,7.5,8.5,8,0
RA-865,Aluno-865,ALFA,Topázio,8.7,7.52,7.5,7.915,9,0
RA-866,Aluno-866,ALFA,Ametista,8.3,8.76,7.5,8.415,7,0
RA-867,Aluno-867,ALFA,Topázio,8.6,8.76,7.5,8.415,8,0
